distrito,codigo_seccion,habitantes,mujer_sola_16_64,hombre_solo_16_64,mujer_sola_65omas,hombre_solo_65omas,mujer_con_menores,hombre_con_menores,pareja_16_64_sin_menores,pareja_1_65omas_sin_menores,pareja_con_1menor,pareja_con_2menores,pareja_con_3omas_menores,2adultos35omas_1joven_sin_menores,2adultos35omas_1joven_1menor,2adultos35omas_1joven_2omas_menores,3adultos_con_sin_menores,2adultos35omas_2jovenes_sin_menores,2adultos35omas_2jovenes_1menor,2adultos35omas_2jovenes_2omas_menores,4adultos_con_sin_menores,5omas_adultos,hogar_15omas,menores_solos
11. Carabanchel,11152,879.0,66.0,71.0,73.0,25.0,20.0,2.0,118.0,116.0,56.0,44.0,11.0,70.0,27.0,5.0,67.0,45.0,8.0,3.0,22.0,29.0,0.0,1.0
11. Carabanchel,11153,651.0,55.0,54.0,63.0,20.0,13.0,3.0,84.0,96.0,34.0,19.0,5.0,48.0,20.0,9.0,50.0,16.0,6.0,1.0,17.0,37.0,1.0,0.0
11. Carabanchel,11154,470.0,35.0,35.0,39.0,9.0,12.0,2.0,60.0,65.0,25.0,21.0,7.0,23.0,16.0,2.0,40.0,15.0,4.0,4.0,28.0,28.0,0.0,0.0
11. Carabanchel,11155,856.0,59.0,84.0,44.0,10.0,23.0,5.0,102.0,70.0,67.0,92.0,6.0,55.0,55.0,10.0,53.0,53.0,6.0,1.0,28.0,32.0,1.0,0.0
11. Carabanchel,11156,671.0,68.0,64.0,15.0,8.0,37.0,4.0,76.0,27.0,60.0,100.0,17.0,52.0,26.0,10.0,29.0,42.0,5.0,3.0,11.0,17.0,0.0,0.0
11. Carabanchel,11157,413.0,19.0,16.0,50.0,8.0,9.0,2.0,56.0,65.0,16.0,8.0,3.0,30.0,11.0,5.0,35.0,14.0,4.0,3.0,28.0,31.0,0.0,0.0
11. Carabanchel,11158,412.0,21.0,23.0,40.0,8.0,10.0,1.0,44.0,52.0,19.0,12.0,8.0,22.0,11.0,4.0,43.0,16.0,5.0,3.0,26.0,43.0,1.0,0.0
11. Carabanchel,11160,548.0,34.0,21.0,53.0,18.0,10.0,2.0,51.0,81.0,19.0,20.0,6.0,31.0,15.0,8.0,52.0,12.0,6.0,2.0,45.0,61.0,1.0,0.0
11. Carabanchel,11161,468.0,26.0,25.0,37.0,13.0,8.0,0.0,57.0,52.0,15.0,19.0,3.0,36.0,17.0,5.0,43.0,19.0,9.0,6.0,28.0,50.0,0.0,0.0
11. Carabanchel,11162,313.0,18.0,24.0,38.0,4.0,6.0,1.0,23.0,48.0,15.0,14.0,4.0,21.0,7.0,4.0,26.0,13.0,2.0,1.0,21.0,23.0,0.0,0.0
11. Carabanchel,11163,557.0,19.0,21.0,91.0,18.0,8.0,1.0,38.0,144.0,22.0,15.0,5.0,37.0,15.0,3.0,53.0,14.0,2.0,4.0,17.0,30.0,0.0,0.0
11. Carabanchel,11165,646.0,29.0,29.0,78.0,21.0,9.0,2.0,57.0,132.0,24.0,17.0,2.0,39.0,11.0,6.0,68.0,27.0,8.0,4.0,31.0,51.0,0.0,1.0
11. Carabanchel,11167,420.0,17.0,28.0,60.0,13.0,4.0,0.0,39.0,74.0,25.0,10.0,1.0,29.0,11.0,6.0,31.0,10.0,5.0,2.0,23.0,32.0,0.0,0.0
11. Carabanchel,11168,416.0,23.0,22.0,58.0,14.0,5.0,1.0,38.0,82.0,18.0,19.0,0.0,24.0,12.0,2.0,48.0,8.0,1.0,3.0,19.0,19.0,0.0,0.0
11. Carabanchel,11169,925.0,50.0,57.0,106.0,20.0,15.0,1.0,107.0,126.0,49.0,26.0,5.0,51.0,26.0,7.0,80.0,37.0,7.0,7.0,50.0,97.0,0.0,1.0
11. Carabanchel,11170,345.0,21.0,20.0,29.0,9.0,4.0,0.0,44.0,43.0,18.0,12.0,4.0,16.0,5.0,4.0,34.0,12.0,6.0,2.0,19.0,42.0,1.0,0.0
11. Carabanchel,11171,336.0,23.0,21.0,22.0,9.0,8.0,1.0,36.0,32.0,15.0,14.0,6.0,30.0,11.0,2.0,30.0,11.0,7.0,1.0,25.0,32.0,0.0,0.0
